comname,ticker,esg_0_100
LENNAR CORPORATION,LEN,37.5
LENNOX INTERNATIONAL INC.,LII,54.0
LES COMPAGNIES LOBLAW LIMITEE,L,84.3
LIFEWORKS INC.,MSI,66.0
LINCOLN NATIONAL CORPORATION,LNC,59.6
"LIVE NATION ENTERTAINMENT, INC.",LYV,46.1
LOCKHEED MARTIN CORPORATION,LMT,80.0
LOEWS CORPORATION,L,38.9
"LOWE'S COMPANIES, INC.",LOW,80.7
LULULEMON ATHLETICA INC.,LULU,56.1
LyondellBasell Industries N.V.,LYB,80.5
M&T BANK CORPORATION,MTB,79.8
MARATHON PETROLEUM CORPORATION,MPC,73.1
"MARRIOTT INTERNATIONAL, INC.",MAR,78.8
"MARTIN MARIETTA MATERIALS, INC.",MLM,41.3
MASCO CORPORATION,MAS,70.3
MASTERCARD INCORPORATED.,MA,76.5
"MATCH GROUP, INC.",MTCH,47.4
"MCCORMICK & COMPANY, INCORPORATED",MKC,75.0
MCDONALD'S CORPORATION,MCD,59.4
MCKESSON CORPORATION,MCK,66.6
MEDTRONIC PUBLIC LIMITED COMPANY,MDT,69.3
"MERCK & CO., INC.",MRK,80.1
MERCK Kommanditgesellschaft auf Aktien,MRK,83.6
"METLIFE, INC.",MET,70.8
METTLER-TOLEDO INTERNATIONAL INC.,MTD,72.6
MGM RESORTS INTERNATIONAL,MGM,68.8
MICROCHIP TECHNOLOGY INCORPORATED,MCHP,56.3
"MICRON TECHNOLOGY, INC.",MU,68.9
MICROSOFT CORPORATION,MSFT,88.1
"MOHAWK INDUSTRIES, INC.",MHK,62.4
MOLSON COORS BEVERAGE COMPANY,TAP,57.7
"MONOLITHIC POWER SYSTEMS, INC.",MPWR,61.2
MONSTER BEVERAGE CORPORATION,MNST,35.8
MOODY'S CORPORATION,MCO,71.5
MORGAN STANLEY,MS,62.3
"MOTOROLA SOLUTIONS, INC.",MSI,76.2
MSCI INC.,MSCI,55.8
Marley Spoon SE,MMM,37.0
Metacon AB (publ),META,7.5
"Mondelez International, Inc.",MDLZ,77.5
"NASDAQ, INC.",NDAQ,78.3
"NETAPP, INC.",NTAP,63.0
"NETFLIX, INC.",NFLX,37.8
NEWMONT CORPORATION,NEM,85.9
NEWS CORPORATION,NWSA,69.4
"NEXTERA ENERGY, INC.",NEE,66.6
"NIKE, INC.",NKE,68.2
NISOURCE INC.,NI,56.2
NORDSON CORPORATION,NDSN,62.3
NORFOLK SOUTHERN CORPORATION,NSC,64.2
NORTHERN TRUST CORPORATION,NTRS,73.8
NORTHROP GRUMMAN CORPORATION,NOC,67.9
NORWEGIAN CRUISE LINE HOLDINGS LTD.,NCLH,77.1
"NRG ENERGY, INC.",NRG,57.8
NUCOR CORPORATION,NUE,52.0
NVIDIA CORPORATION,NVDA,77.5
"NVR, Inc.",NVR,45.6
NXP Semiconductors N.V.,NXPI,87.1
Nemetschek SE,NEM,56.7
North Atlantic Energies,ES,42.6
"O'Reilly Automotive, Inc.",ORLY,41.9
OCCIDENTAL PETROLEUM CORPORATION,OXY,78.4
"OLD DOMINION FREIGHT LINE, INC.",ODFL,34.1
OMNICOM GROUP INC.,OMC,60.5
ON SEMICONDUCTOR CORPORATION,ON,62.0
"ONEMAIN HOLDINGS, INC.",OMF,40.2
"ONEOK, INC.",OKE,79.7
ORACLE CORPORATION,ORCL,49.2
OTIS WORLDWIDE CORPORATION,OTIS,68.6
PACCAR INC,PCAR,62.7
PACKAGING CORPORATION OF AMERICA,PKG,71.5
PALANTIR TECHNOLOGIES INC.,PLTR,19.5
"PALO ALTO NETWORKS, INC.",PANW,56.7
PANTORO GOLD LIMITED,PNR,27.7
PARKER-HANNIFIN CORPORATION,PH,66.8
"PAYCHEX, INC.",PAYX,59.6
"PAYPAL HOLDINGS, INC.",PYPL,79.4
PEMBINA PIPELINE CORPORATION,PPL,70.0
PENTAIR PUBLIC LIMITED COMPANY,PNR,67.7
PERSEUS MINING LIMITED,PRU,68.3
PFIZER INC.,PFE,77.1
PG&E CORPORATION,PCG,77.0
PHILLIPS 66,PSX,62.3
PHOENIX GLOBAL RESOURCES LIMITED,PGR,8.9
PINNACLE WEST CAPITAL CORPORATION,PNW,57.1
PLDT Inc.,TEL,54.0
POOL CORPORATION,POOL,57.6
"PPG INDUSTRIES, INC.",PPG,75.7
PPL CORPORATION,PPL,59.8
PREMIER GOLD MINES LIMITED,PG,10.7
"PRINCIPAL FINANCIAL GROUP, INC.",PFG,65.1
"PROLOGIS, INC.",PLD,71.5
"PRUDENTIAL FINANCIAL, INC.",PRU,60.9
PRUDENTIAL PUBLIC LIMITED COMPANY,PRU,80.6
PT Ciputra Development Tbk,CTRA,45.0
PTC INC.,PTC,74.8
PTC INDIA LIMITED,PTC,27.6
PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED,PEG,67.5
"PULTEGROUP, INC.",PHM,55.9
"Pepsico, Inc.",PEP,79.3
"Pharma Mar, S.A.",PHM,68.3
Philip Morris International Inc.,PM,86.0
Phoenix Mecano AG,PM,27.0
"QORVO, INC.",QRVO,62.0
QUALCOMM INCORPORATED,QCOM,80.2
"QUANTA SERVICES, INC.",PWR,76.8
QUEST DIAGNOSTICS INCORPORATED,DGX,72.0
RALPH LAUREN CORPORATION,RL,78.2
"RAYMOND JAMES FINANCIAL, INC.",RJF,67.5
RCL FOODS LIMITED,RCL,48.8
REALTY INCOME CORPORATION,O,85.8
REGENCY CENTERS CORPORATION,REG,68.9
"REGENERON PHARMACEUTICALS, INC.",REGN,68.1
REGIONS FINANCIAL CORPORATION,RF,71.2
REGIS HEALTHCARE LIMITED,REG,50.8
"REPUBLIC SERVICES, INC.",RSG,75.6
RESMED INC.,RMD,66.0
RESOLUTE MINING LIMITED,RSG,49.2
"ROCKWELL AUTOMATION, INC.",ROK,55.2
"ROLLINS, INC.",ROL,26.1
"ROPER TECHNOLOGIES, INC.",ROP,59.0
"ROSS STORES, INC.",ROST,60.0
ROYAL CARIBBEAN CRUISES LTD.,RCL,69.5
RTX A/S,RTX,35.3
RTX CORPORATION,RTX,73.8
S&P GLOBAL INC.,SPGI,81.9
"SALESFORCE, INC.",CRM,69.9
SBA COMMUNICATIONS CORPORATION,SBAC,65.6
SEALED AIR CORPORATION,SEE,60.9
SEEING MACHINES LIMITED,SEE,23.5
SEMPRA,SRE,72.5
"SERVICENOW, INC.",NOW,74.4
"SKYWORKS SOLUTIONS, INC.",SWKS,55.2
SLB N.V.,SLB,74.0
SNAP-ON INCORPORATED,SNA,55.9
SOCIETATEA ENERGETICĂ ELECTRICA S.A.,EL,55.9
SODEXO SA,SW,71.8
SOUTHWEST AIRLINES CO.,LUV,72.0
